conditioning,dimension,effect_b_minus_a,factor_a,factor_b,kind,level_a,level_b,metric
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.05,muscle_extent,,paired_marginal,band,full,final_midline_x_reversal_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.34999999999999998""}",2d,-0.03790404839880662,muscle_extent,,paired_marginal,band,full,final_midline_y_range
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.006999999999999998,muscle_extent,,paired_marginal,band,full,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.006999999999999998,muscle_extent,,paired_marginal,band,full,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.0065000000000000014,muscle_extent,,paired_marginal,band,full,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.006999999999999997,muscle_extent,,paired_marginal,band,full,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.0004999999999999974,muscle_extent,,paired_marginal,band,full,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.0014999999999999998,muscle_extent,,paired_marginal,band,full,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,26.444147267775122,muscle_extent,,paired_marginal,band,full,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""geometry"": ""long"", ""poisson"": ""0.48999999999999999""}",2d,-0.0015741004268865991,muscle_extent,,paired_marginal,band,full,final_target_rms
