coding,dimension,factor_subset,formula,metric,order,signed_nested_contrast
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,2,-0.02299999999999999
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,2,-0.02750000000000001
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.012249999999999999
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,2,-0.012874999999999998
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.010750000000000001
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,2,-0.01825000000000001
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,2,19.54398708808027
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,2,-0.0035486386169321232
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,2,-7.443709422159403
"{""geometry"": {""high"": ""short"", ""low"": ""long""}, ""poisson"": {""high"": ""0.48999999999999999"", ""low"": ""0.34999999999999998""}}",2d,geometry:poisson,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,2,-1.0946519631470264
