triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
7813,12251,234851,230649,1.1923180363016467e-08,-0.95458433445709812,Smile,0.66563598473316699,SmileClosed
7814,12251,12266,234851,1.622573070608501e-08,-0.70298619769888604,MouthOpenSlightly,0.72205990203818193,Extra_Funnel
7815,12251,230649,230356,3.7957842855106201e-08,-0.67286924633152378,LipsPressed,0.36945996113269786,SmileClosed
7816,12251,230356,12279,5.2781927450757049e-08,-0.64343188434935517,LipsPressed,0.33947981422748064,SmileClosed
7817,12262,12579,12450,5.7781541491870878e-07,-0.20242001910440832,LipsRight,0.85409579667065549,Scream
7818,12262,12397,12579,5.032739988526253e-07,-0.19944922657077357,LipsRight,0.48562415643325774,Scream
7819,12265,12388,12919,2.1115591522513768e-06,-0.31244024250316071,Compressed,0.10072496299995137,LipsRight
7820,12265,12919,12784,1.9020986225062702e-06,-0.36859107594831453,Compressed,0.12694482654273287,LipsRight
7821,12275,12653,12707,3.6542188820214094e-07,-0.54344721421744691,Compressed,0.79881868582675786,EyeClosedBrowUpLeft
7822,12275,12707,12299,4.0066916857261063e-07,-0.75652219241059449,Compressed,0.84895280372946069,EyeClosedBrowUpLeft
7823,12279,230356,12309,4.0732018052966442e-08,-0.74055550674390636,LipsRight,0.32934078635053954,Extra_Funnel
7824,12286,12634,12289,2.596015717943412e-07,-0.45099989065630441,Compressed,0.44966875269173845,EyesUpMax
7825,12286,12681,12634,2.6397720959838452e-07,-0.43934038605428805,EyeScrewedUpLeft,0.22291700044480511,EyesUpMax
7826,12286,12314,12681,3.2293888691701511e-07,-0.47608393324546305,Compressed,0.37237642311941244,EyesUpMax
7827,12288,12549,12591,4.5852096233163833e-07,-0.15421828133029336,MouthOpenSlightly,0.77546888940537806,Scream
7828,12288,12807,12549,5.6089171119795965e-07,-0.19216367062157291,LipsLeft,0.77859001457854249,Scream
7829,12288,12306,12594,6.8103256759613903e-07,-0.18941326584836959,LipsRight,0.84811197677882544,Scream
7830,12288,12594,12714,8.1215240139642355e-07,-0.17289950640693719,LipsLeft,0.70550186218934541,Scream
7831,12288,12714,12807,6.6831069916270918e-07,-0.19780586778697351,LipsLeft,0.96000936493788891,Scream
7832,12299,12707,12781,5.0145771768816209e-07,-0.66050302953398288,Compressed,0.75329215947306838,BrowUpLeft
7833,12299,12781,12343,4.9546633680829318e-07,-0.6257857200310093,Compressed,0.86537172249808703,BrowUpLeft
7834,12300,12711,12369,5.5412060596860358e-07,-0.57543766838544075,LowerLipBack,0.44714199138331279,Extra_Funnel
7835,12300,12678,12711,5.4115241746611946e-07,-0.50575833191495956,LowerLipBack,0.6729602317180019,Extra_Funnel
7836,12304,12911,12764,9.1086316794972568e-07,-0.5488996274563458,Compressed,0.045081441375901976,EyesRight
7837,12304,12409,12911,1.1402930779453964e-06,-0.59298028993668206,Compressed,0.054315116142559017,EyesRight
7838,12306,12447,12594,8.4934678136577523e-07,-0.16574130007866439,LipsLeft,0.3507473271340289,Scream
7839,12307,12712,12563,9.1727261308678981e-07,-0.1940031613985872,Extra_Funnel,0.6946300893786852,Scream
7840,12307,12450,12712,7.7208857197589909e-07,-0.24910348104219826,Extra_Funnel,0.84124140893295918,Scream
7841,12308,265211,594320,1.2326534983231676e-06,-0.19113233664767471,LipsRight,0.28220653503484727,Compressed
7842,12308,12641,12955,2.1287005682184066e-06,-0.29624149119029441,LipsRight,0.24841937398674552,Smile
7843,12308,12955,265211,1.5932871092618928e-06,-0.30332884427109774,LipsRight,0.44179570240068511,Scream
7844,12308,151971,47599,1.0633507587479847e-06,-0.37659208659468546,Scream,0.17005703623885671,Compressed
7845,12308,47599,12641,1.3731124165006509e-06,-0.30488929687770627,LipsRight,0.24870719106450934,Smile
7846,12309,260657,12347,9.7039271618686315e-08,-0.61573923098861327,LowerLipFront,0.021733847184329802,Extra_Funnel
7847,12309,230356,260657,6.4175692325151053e-08,-0.72032428897231582,LipsRight,0.37990709273121337,Extra_Funnel
7848,12314,12739,12681,2.504048410259892e-07,-0.4982089000641613,Compressed,0.185059856443194,EyesUpMax
7849,12314,12361,12739,4.0760856581485762e-07,-0.52090420784224811,Compressed,0.15027851626523203,EyesUpMax
7850,12323,529482,12641,1.3638019465596245e-06,-0.25314702143258416,LipsRight,0.13962055126445261,SmileClosed
7851,12323,510234,529482,1.068873555317434e-06,-0.24328035706176632,LipsRight,0.10903472350930565,SmileClosed
7852,12323,12641,47599,1.0264472617378799e-06,-0.30533423610129395,LipsRight,0.24836165905327823,Smile
7853,12324,12560,12380,2.7057259976825346e-07,-0.30523167268601559,LipsLeft,1.4300525794113366,Extra_Funnel
7854,12324,12369,12513,3.035598627670682e-07,-0.41480897180461473,LowerLipBack,1.070759885111999,Extra_Funnel
7855,12324,12513,12560,2.2292477886973386e-07,-0.40170467954337441,LowerLipBack,1.190547733355082,Extra_Funnel
7856,12327,12836,12659,1.1336547063411735e-06,-0.3189618650146081,LowerLipFront,0.36372531385728779,MouthOpenMax
