resolution,index,singular_value
200x20,130,1.049250484045235e-18
200x20,131,1.0335495520121138e-18
200x20,132,1.0002171670188169e-18
200x20,133,9.774020538620054e-19
200x20,134,9.701367195927225e-19
200x20,135,9.572133060947728e-19
200x20,136,9.309938027902398e-19
200x20,137,9.186115346732966e-19
200x20,138,9.050804005744694e-19
200x20,139,8.816279845449574e-19
200x20,140,8.714206771907497e-19
200x20,141,8.614816130896926e-19
200x20,142,8.199895463036881e-19
200x20,143,8.1050283180580855e-19
200x20,144,7.7554435561917e-19
200x20,145,7.720291868845831e-19
200x20,146,7.65021550612529e-19
200x20,147,7.538072886935414e-19
200x20,148,7.315190214761632e-19
200x20,149,7.284519877362381e-19
200x20,150,7.120251433424874e-19
200x20,151,6.995836121004686e-19
200x20,152,6.973556673931746e-19
200x20,153,6.891584845887145e-19
200x20,154,6.700472165987503e-19
200x20,155,6.463200144187803e-19
200x20,156,6.3860023704407695e-19
200x20,157,6.243692863311315e-19
200x20,158,6.192979117468717e-19
200x20,159,6.1595880487132795e-19
200x20,160,6.044871305607372e-19
200x20,161,5.987754066278884e-19
200x20,162,5.884398730775265e-19
200x20,163,5.759844616176983e-19
200x20,164,5.560994325360651e-19
200x20,165,5.519383789301628e-19
200x20,166,5.440792837283017e-19
200x20,167,5.390219401272417e-19
200x20,168,5.160758999245713e-19
200x20,169,5.1431526997424335e-19
200x20,170,5.032218063570095e-19
200x20,171,4.968528573834496e-19
200x20,172,4.921976902695809e-19
200x20,173,4.808375426221496e-19
200x20,174,4.726888587389183e-19
200x20,175,4.676974437550767e-19
200x20,176,4.551418874721941e-19
200x20,177,4.504242261022789e-19
200x20,178,4.441285883347569e-19
200x20,179,4.377619960549876e-19
200x20,180,4.291394047020796e-19
200x20,181,4.2774605390163164e-19
200x20,182,4.225023491722767e-19
200x20,183,4.193355294446518e-19
200x20,184,4.1473222239447336e-19
200x20,185,4.09958236949403e-19
200x20,186,3.9818581447324713e-19
200x20,187,3.9658577821186167e-19
200x20,188,3.937265291471265e-19
200x20,189,3.8257655828636113e-19
200x20,190,3.767889717988325e-19
200x20,191,3.6574228847962585e-19
200x20,192,3.6135952940154403e-19
200x20,193,3.53140948510078e-19
200x20,194,3.4876531658260547e-19
200x20,195,3.4748995215908946e-19
200x20,196,3.4583425051614423e-19
200x20,197,3.388313625654288e-19
200x20,198,3.249372770130642e-19
200x20,199,3.163506390406256e-19
200x20,200,3.128625700491148e-19
200x20,201,3.0952401205739453e-19
200x20,202,3.061589849402521e-19
200x20,203,3.0067370521091547e-19
200x20,204,2.9645944437641604e-19
200x20,205,2.904362655240152e-19
200x20,206,2.8834587020830265e-19
200x20,207,2.8413769995636246e-19
200x20,208,2.78614669486469e-19
200x20,209,2.765658696391137e-19
200x20,210,2.704079657691904e-19
200x20,211,2.636657621016159e-19
200x20,212,2.606522493633478e-19
200x20,213,2.5276606662984305e-19
200x20,214,2.508880258543291e-19
200x20,215,2.4504055865492587e-19
200x20,216,2.44243425522333e-19
200x20,217,2.372960289802908e-19
200x20,218,2.34827495166514e-19
200x20,219,2.3244170807039665e-19
200x20,220,2.2881756122618275e-19
200x20,221,2.245034458077548e-19
200x20,222,2.2196456523467027e-19
200x20,223,2.163425656622627e-19
200x20,224,2.1182267963535708e-19
200x20,225,2.0845419778101862e-19
200x20,226,2.0798934789461005e-19
200x20,227,2.0455011492198607e-19
200x20,228,2.004282603549329e-19
200x20,229,1.9799167272425874e-19
200x20,230,1.9468522847323947e-19
200x20,231,1.9385009285060724e-19
200x20,232,1.9087472076503478e-19
200x20,233,1.8678731474683015e-19
200x20,234,1.8428056202663313e-19
200x20,235,1.7951836506091123e-19
200x20,236,1.7790505694417623e-19
200x20,237,1.7515748484894124e-19
200x20,238,1.74045906688543e-19
200x20,239,1.7364776126787823e-19
200x20,240,1.6765971984607923e-19
200x20,241,1.6610591947006602e-19
200x20,242,1.6412511353643705e-19
200x20,243,1.629149296905764e-19
200x20,244,1.5930466612318985e-19
200x20,245,1.5636216045228128e-19
200x20,246,1.5508946609975244e-19
200x20,247,1.500270785699997e-19
200x20,248,1.4840766249768155e-19
200x20,249,1.4749485939946364e-19
200x20,250,1.4342595363977735e-19
200x20,251,1.4098199401468282e-19
200x20,252,1.396217187585647e-19
200x20,253,1.3676720274236776e-19
200x20,254,1.3570497433525516e-19
200x20,255,1.308037087619066e-19
200x20,256,1.2922251205786633e-19
200x20,257,1.2799235538195655e-19
200x20,258,1.2732783283346384e-19
200x20,259,1.2574860739534122e-19
200x20,260,1.2361490361457976e-19
200x20,261,1.2205961117252024e-19
200x20,262,1.19951451581216e-19
200x20,263,1.1883240441477398e-19
200x20,264,1.1860842029037011e-19
200x20,265,1.1504198216750197e-19
200x20,266,1.1322786375497786e-19
200x20,267,1.099526551270582e-19
200x20,268,1.0920961683516458e-19
200x20,269,1.0877776228813975e-19
200x20,270,1.0613789541105315e-19
200x20,271,1.0254707586988175e-19
200x20,272,1.0209497726963987e-19
200x20,273,1.0153017176471142e-19
200x20,274,1.0073971674487431e-19
200x20,275,9.98050240767746e-20
200x20,276,9.844824942548357e-20
200x20,277,9.634961146313408e-20
200x20,278,9.517924031290933e-20
200x20,279,9.394160237210234e-20
200x20,280,9.245609766099849e-20
200x20,281,9.070195262849149e-20
200x20,282,8.997474279359017e-20
200x20,283,8.837980961978591e-20
200x20,284,8.793363922257385e-20
200x20,285,8.600059165012458e-20
200x20,286,8.271343391252514e-20
200x20,287,8.212971986557299e-20
200x20,288,8.195020426603579e-20
200x20,289,8.0878051677998e-20
200x20,290,8.009429507555583e-20
200x20,291,7.74528812078922e-20
200x20,292,7.629256703052398e-20
200x20,293,7.522554973976664e-20
200x20,294,7.470626333581852e-20
200x20,295,7.392256021407042e-20
200x20,296,7.134228570700707e-20
200x20,297,7.091375539110246e-20
200x20,298,6.975443240754789e-20
200x20,299,6.763703885864807e-20
200x20,300,6.72542004788388e-20
200x20,301,6.645680979119768e-20
200x20,302,6.570188086972658e-20
200x20,303,6.45807237241477e-20
200x20,304,6.419881513121368e-20
200x20,305,6.317712490988374e-20
200x20,306,6.231640328968199e-20
200x20,307,6.081138820538017e-20
200x20,308,6.027426573904258e-20
200x20,309,5.940655823514856e-20
200x20,310,5.833700413830323e-20
200x20,311,5.794627245264101e-20
200x20,312,5.691123295182674e-20
200x20,313,5.610984456650378e-20
200x20,314,5.468424644239724e-20
200x20,315,5.433010566438857e-20
200x20,316,5.4143889085786366e-20
200x20,317,5.323552096827181e-20
200x20,318,5.184052366704361e-20
200x20,319,5.1736581821203475e-20
200x20,320,5.081456364922918e-20
200x20,321,4.980198059630384e-20
200x20,322,4.8779646545744984e-20
200x20,323,4.8083033424928213e-20
200x20,324,4.790617213981179e-20
200x20,325,4.765922332208717e-20
200x20,326,4.646488933899947e-20
200x20,327,4.5791408159893705e-20
200x20,328,4.527057096524901e-20
200x20,329,4.370066507152872e-20
200x20,330,4.338052528444044e-20
200x20,331,4.280297476662037e-20
200x20,332,4.1653931198283377e-20
200x20,333,4.1558581613515693e-20
200x20,334,4.0684162666666516e-20
200x20,335,3.918019168043562e-20
200x20,336,3.850837406330554e-20
200x20,337,3.803339084161766e-20
200x20,338,3.7885213961362285e-20
200x20,339,3.727551261398926e-20
200x20,340,3.6263182159691944e-20
