cycles_per_unit_length,global_best_50x5-free_power,global_best_100x10-free_power,global_best_200x20-free_power,global_best_50x5-regularized_power,global_best_100x10-regularized_power,global_best_200x20-regularized_power,global_best_50x5-tied_power,global_best_100x10-tied_power,global_best_200x20-tied_power,admissible_prefix_50x5-free_power,admissible_prefix_100x10-free_power,admissible_prefix_200x20-free_power,admissible_prefix_50x5-regularized_power,admissible_prefix_100x10-regularized_power,admissible_prefix_200x20-regularized_power,admissible_prefix_50x5-tied_power,admissible_prefix_100x10-tied_power,admissible_prefix_200x20-tied_power
20.82248828735032,2.5279615411042743e-07,1.00892776570869e-07,1.1301942499368904e-07,2.6534484895835465e-07,7.199249175561332e-09,6.342734468533762e-08,2.5279615411042743e-07,1.9608152833072142e-07,3.7005700869989014e-09,1.318026527912132e-08,3.05387504232593e-08,3.078322851601826e-08,3.1215233176528625e-08,2.467078807784353e-08,1.6359460038282334e-08,1.318026527912132e-08,5.353578592185742e-08,3.684349839500348e-10
21.863612701717837,8.78180891133878e-08,1.2203316777303757e-07,1.6304230837864918e-07,2.3738443960292627e-07,3.7819647765476143e-10,3.4930080165872584e-08,8.78180891133878e-08,1.3615592206861925e-07,2.902046688292047e-08,4.209154902322011e-09,8.286741743566847e-08,5.389232415371575e-08,2.2523984724052146e-08,4.648799547113942e-09,9.018841412084983e-09,4.209154902322011e-09,6.723829119441588e-08,5.2647056827768746e-09
22.904737116085354,6.741926645631816e-08,1.2777670877860038e-07,1.4608202715174435e-07,1.672008935167757e-07,4.867698631706295e-09,3.2369264073204526e-08,6.741926645631816e-08,3.603433007957331e-08,5.7384348876122446e-08,7.258690794449978e-10,1.291371565833501e-07,5.629262462553464e-08,1.234190215220904e-08,1.660406024920282e-08,7.0652712831990985e-09,7.258690794449978e-10,8.61162191218831e-08,1.626666852196214e-08
23.94586153045287,9.608124380887689e-08,9.622619740238029e-08,8.200972347435798e-08,7.391768811288787e-08,7.863343573546957e-09,3.599851333111919e-08,9.608124380887689e-08,2.878593902675092e-09,6.617629553433292e-08,5.196086002161405e-10,1.345732188651603e-07,3.596259412852384e-08,4.631461406926699e-09,2.1871808219463812e-08,6.333833663547789e-09,5.196086002161405e-10,8.94084654199113e-08,2.421773155896515e-08
24.986985944820383,8.456223869126085e-08,4.51458639726235e-08,2.391714735672609e-08,1.4076516145944581e-08,5.362607447764876e-09,2.299572454124802e-08,8.456223869126085e-08,2.7504423821332285e-08,5.362784427395329e-08,6.824057583119519e-10,9.689001091110534e-08,1.0680051474238276e-08,1.024731248093541e-09,1.0227085534178537e-08,6.056505566364604e-09,6.824057583119519e-10,7.041205236645578e-08,2.4658774639208834e-08
26.0281103591879,4.046458610168209e-08,9.579780320111105e-09,1.13815640811454e-09,2.4286147050212322e-08,8.624065198408e-09,3.751825453278162e-09,4.046458610168209e-08,4.04158361574257e-08,3.34740650049585e-08,8.317362511127088e-10,4.5076280539271046e-08,3.183882662262791e-10,1.8758260461595713e-09,1.9657129175400224e-09,6.585207306796488e-09,8.317362511127088e-10,4.132921155854945e-08,1.9196807250467667e-08
27.069234773555415,2.2885836159653185e-08,5.9498303007579936e-09,2.5291426907415906e-09,7.896239785313832e-08,2.3016287031794786e-08,3.5944504075471445e-09,2.2885836159653185e-08,2.4436401594928523e-08,1.7524760840166335e-08,1.2831149463198597e-09,1.0193539099960508e-08,7.742111321688826e-09,5.893275995374453e-09,8.340638700519444e-09,6.146329308343606e-09,1.2831149463198597e-09,1.832756140208858e-08,1.1566006293663647e-08
28.11035918792293,5.2246376195625565e-08,2.2576103166518157e-08,6.531459245145691e-09,1.1672991113582475e-07,3.5438552293705875e-08,2.0597091588862425e-08,5.2246376195625565e-08,7.178275568735164e-09,8.181675283416887e-09,1.2802364194612323e-09,1.5343753512243288e-09,1.9102889987413782e-08,9.82721869046935e-09,1.8964338701737285e-08,3.900083823718992e-09,1.2802364194612323e-09,7.705528718635527e-09,4.793462685639105e-09
29.151483602290448,9.055677860629625e-08,3.7147697592092966e-08,8.261444205894823e-09,1.0358516081961768e-07,3.083676944901782e-08,2.7682028041596456e-08,9.055677860629625e-08,2.098663723872065e-09,3.2408684385699067e-09,7.201578833148898e-10,8.351647980577718e-09,2.0997077160802138e-08,1.0235085648186068e-08,2.194115380924573e-08,2.242995469306257e-09,7.201578833148898e-10,6.1037012520777324e-09,7.906479987279948e-10
30.192608016657964,9.588033116366551e-08,3.758835482138981e-08,1.329808051058865e-08,5.9092955110605206e-08,1.3184247423071335e-08,1.41734704291546e-08,9.588033116366551e-08,4.895874045266786e-09,1.5691892627283403e-09,1.6272926938561837e-09,1.77163017850965e-08,1.3281436578653652e-08,6.631984618915975e-09,1.7120395637336436e-08,3.199338707825987e-09,1.6272926938561837e-09,8.81335929189778e-09,3.826589621346914e-10
31.23373243102548,6.903813919220244e-08,2.8108097314783642e-08,2.009189462220607e-08,2.3876101717162826e-08,8.840066668305003e-10,1.0368754202973273e-09,6.903813919220244e-08,1.2337384087537406e-08,3.1363885755290285e-09,5.41019862208866e-09,2.561787704827025e-08,5.041458235770101e-09,2.2129003832829902e-09,9.85471979812673e-09,5.133961470637831e-09,5.41019862208866e-09,1.4211700013712437e-08,2.9051770527631943e-09
32.274856845392996,4.104214667950673e-08,1.968196770423839e-08,2.036658831149328e-08,1.5519955563398315e-08,4.020490917494867e-09,8.021748756210853e-09,4.104214667950673e-08,1.7781102776113143e-08,6.534451781896515e-09,9.544713660480904e-09,3.253584567826179e-08,2.514347955827054e-09,3.8015825028945476e-10,3.738872262819686e-09,5.217897034654311e-09,9.544713660480904e-09,2.139036993615354e-08,6.1479882289200294e-09
33.31598125976051,3.1039984022126876e-08,1.748459406029e-08,1.2291147716565785e-08,2.0848658251826327e-08,1.4443384265575482e-08,2.4572208165825228e-08,3.1039984022126876e-08,1.3406429424187399e-08,8.892166483403861e-09,9.850687089635203e-09,3.570103317041791e-08,4.071211541449586e-09,1.1753171111158761e-09,8.418229281609745e-10,3.3605762645568816e-09,9.850687089635203e-09,2.738918814756739e-08,7.494859346763692e-09
34.35710567412803,3.0276717929341805e-08,1.795563744482029e-08,3.824031890649315e-09,2.0701902889197312e-08,1.898747632583241e-08,2.6861885966277904e-08,3.0276717929341805e-08,6.7803788914366724e-09,8.39058530255459e-09,5.982118794250447e-09,3.0819079213982924e-08,5.072759315659391e-09,2.1840541206399047e-09,1.5768490106808504e-09,1.8425921391249854e-09,5.982118794250447e-09,2.8783965434390554e-08,5.868891397116303e-09
35.398230088495545,2.2872123592542974e-08,1.6446178786782952e-08,2.4579065019800966e-09,1.1266970355553847e-08,1.517821201939704e-08,1.2442397452842591e-08,2.2872123592542974e-08,1.1655246157528168e-08,5.926815225789779e-09,1.8307941532739022e-09,1.910605207498117e-08,3.828537475439685e-09,2.033623640098635e-09,3.015223117724477e-09,2.081013007807859e-09,1.8307941532739022e-09,2.484445705646861e-08,2.6923900118964752e-09
36.43935450286306,8.851312116483974e-09,1.5288255207269117e-08,6.884504073036999e-09,2.110810057778812e-09,1.0480821288956637e-08,1.5726514174249266e-09,8.851312116483974e-09,2.2103768912842222e-08,3.819309382458302e-09,2.712993253655969e-10,7.883627724441675e-09,1.9759851729193823e-09,1.4142020463624315e-09,2.1024439691484826e-09,3.2703808941635318e-09,2.712993253655969e-10,1.7835976910560005e-08,5.173062963027007e-10
37.48047891723058,1.2358557780596402e-09,2.267689014783618e-08,1.0185499387138554e-08,1.4992876853867564e-09,1.0883179106051567e-08,7.19763530874161e-09,1.2358557780596402e-09,2.046837755746944e-08,3.3246200943967613e-09,3.8998389602666857e-10,3.680121397395799e-09,1.2769192746219271e-09,1.1723011557871195e-09,6.066179236870091e-10,3.8382345756804885e-09,3.8998389602666857e-10,1.0847822409550422e-08,5.664610637660022e-10
