name,jaw_filtered,score,disp_rms,disp_max,area_total_ratio,area_ratio_q001,area_ratio_q01,area_ratio_q05,area_ratio_median,area_ratio_q95,area_ratio_q99,area_ratio_q999,frac_abs_log_gt_10pct,frac_abs_log_gt_25pct,frac_abs_log_gt_2x,frac_stretch_gt_10pct,frac_shrink_gt_10pct
LipsDisgust,False,0.5638471399328526,0.0027851640183578948,0.007912588829983932,0.9873886156068343,0.552367283869051,0.7102142810711322,0.8195680998586425,0.9995708979082364,1.075394663045168,1.2386350456391086,1.7419228304445888,0.1392019799993311,0.049600321080972606,0.001237499581925817,0.035486136660088964,0.10371584333924211
LipsPressed,False,0.5811082123296744,0.002880042373755553,0.011260731962329872,1.0166103872595031,0.4142291719055173,0.6933539571904171,0.8959732865240665,0.9997992123212234,1.1367032075957875,1.3750753324489677,1.771812704774361,0.14602495066724638,0.04715876785176762,0.0018395264055654035,0.08662497073480718,0.059399979932439215
LipsLeft,False,0.6639941219406482,0.0067249071148616675,0.021769210375762932,0.9973358988602607,0.4942168009699565,0.6970408057157625,0.8477300734998576,1.0000001041041333,1.1325673082022216,1.2917330365888422,1.858290112775722,0.2074985785477775,0.041506404896484834,0.0019398642095053346,0.09023713167664471,0.11726144687113281
EyesDown,False,0.6711011544704264,0.001055110956443821,0.011111141428198603,1.0047355299192833,0.3362558452960063,0.6294516831232293,0.9690905601072434,0.9999993580880536,1.1132401362073086,1.7478063602331586,3.498563209534288,0.07833037894243955,0.045486471119435434,0.014114184420883642,0.052643901133817186,0.025686477808622363
LipsRight,False,0.692431127314891,0.006714308374745809,0.021820543953637573,0.996527722816928,0.49657124695959554,0.6986413441253733,0.8326468131397563,1.000000066245794,1.1291124744128251,1.2713110157622955,1.8503679940925952,0.21378641426134654,0.04531924144620222,0.0017391886016254723,0.08983578046088497,0.12395063380046155
SmileClosed,False,0.8414977116227526,0.004299631479976663,0.012537767079821958,0.9977970025687249,0.5706618195233628,0.6996825944784045,0.8183357531319394,1.0039967523147022,1.1644122795260368,1.391081955778175,2.2123608880486767,0.23836917622662965,0.06394862704438276,0.0021405398173851968,0.11525469079233419,0.12311448543429546
Extra_Funnel,False,0.8720937722214703,0.003935041415540518,0.016996282566067722,1.0164804165702175,0.446539087306475,0.7077077533509133,0.87021677319771,1.0000006241284884,1.1521745182904903,1.8424933468946578,2.969570471766781,0.1996053379711696,0.0583966018930399,0.008227699923074351,0.12679353824542627,0.07281179972574334
Smile,False,1.1209983244967427,0.005310139062299789,0.015394709686976251,0.9959036301993714,0.4969959888331182,0.6322311816123309,0.7813749324530344,1.0033631793814313,1.225636304813425,1.725150161605689,4.2955431689793455,0.23301782668316667,0.09940131776982508,0.007692564968728051,0.10505368072510786,0.1279641459580588
Compressed,False,3.232030007324205,0.007539320295832107,0.012740414819223264,0.9797894485541382,0.17183073887460013,0.30555337223439355,0.49805507939063137,1.0330248235529509,1.2091718490438577,1.3648535197599965,2.1411185437561606,0.5505869761530486,0.21418776547710625,0.05197498244088431,0.2645907889895983,0.28599618716345027
MouthOpenSlightly,True,0.2005862735736883,0.003366872694043151,0.010304601147463595,1.0085425520196956,0.5720719096510714,0.8919009720750122,0.9584158276532349,1.0000213956522401,1.0678904564840166,1.216052604638081,2.717975884468462,0.039432756948392926,0.011003712498745778,0.002909796314258002,0.025452356266095856,0.013980400682297067
JawLeft,True,0.20278553955978804,0.003942137247512903,0.010918456080797348,1.0176489965982367,0.5501591375634739,0.8902823182096267,0.9598245413823471,1.0000049077917121,1.0946055392344365,1.1837845029516296,1.5707119771236424,0.05702531857252751,0.010368239740459547,0.0009699321047526673,0.04190775611224456,0.015117562460282953
JawRight,True,0.21281968218347092,0.003946752884461972,0.01096412272050355,1.017309059791698,0.5302792219184775,0.8757024685863246,0.9556047179058029,1.0000043775314333,1.0946137215958163,1.1815908280297847,1.7462869960627987,0.06020268236395866,0.010368239740459547,0.0011706077126325295,0.04267701260911736,0.017525669754841298
JawFront,True,0.41072622170997247,0.0037323333266556166,0.010394715751342043,1.0326741371262558,0.6261591928150791,0.8707736584623087,0.9801378439491574,1.005773627896264,1.133729390264611,1.2210077631850258,2.0309828195002266,0.14321549215692833,0.013077360446837686,0.001337837385865748,0.1252884711863273,0.017927020970601025
MouthOpen,True,0.4528406032934918,0.007800897917114607,0.02542723399877028,1.0256926213905087,0.7426928309686553,0.8775364564922239,0.9451418332517384,0.9998338067645034,1.1466538901361472,1.4654985164953094,3.59937890427353,0.1300377939061507,0.021305060369912036,0.0030435800528445765,0.10983644937957791,0.020201344526572795
MouthOpenMax,True,0.9459616795071337,0.011910324462616282,0.04004493818261243,1.003729746901245,0.5678979401874243,0.7372732504112454,0.8645395454255279,0.9992690797435404,1.2503334705984976,1.7983662187843228,6.154255066425145,0.22495735643332554,0.0690324091106726,0.007358105622261614,0.11558915013880063,0.1093682062945249
Scream,True,1.3081459519902876,0.009535208176531942,0.032350738683818846,1.006349913498289,0.4994979541433315,0.6522487345435526,0.8092958880062345,1.0114067697494895,1.3175942938087526,1.8812675179888734,6.151971331308662,0.2832536205224255,0.1101374627913977,0.00923107796247366,0.12936887521321783,0.15388474530920768
