step,phase,objective,gradient_inf,gradient_rms,equilibrium_residual_rms,forward_iterations,min_det_f,min_det_ainv,min_det_g,inverted_rest_measure_fraction,ainv_negative_rest_measure_fraction,g_negative_rest_measure_fraction,double_inverted_rest_measure_fraction,activation_sha256,displacement_sha256
36,inverse_bfgs,0.01004677716823599,0.019874338133378203,0.015024464332647949,7.394421464992703e-11,3,-0.13902229387968246,0.08818635581769967,-0.13902229387968246,0.002500000000000003,0.0,0.002500000000000003,0.0,ebc87bd58bc0977a97fb429a23cc280bc181b6c767585ccefecd3932926b6293,68cf6fcf010dcc3e3431dab1fb7137c7c461e4ef0f21d474adbe4a59e68aa5bd
37,inverse_bfgs,0.010046597911426161,0.007817998066282987,0.005384639573232391,8.365254445400848e-11,3,-0.13903097663012767,0.08818446953928154,-0.13903097663012767,0.002500000000000003,0.0,0.002500000000000003,0.0,f74f7dc3ab6c8794c605eff60cd1fe22ce70ae6ca573a944b9f3ba1edbb70ac4,a6c951a297129e13f95fbaf8377cd80ab45df7166f97b1777004309a27d8d911
38,inverse_bfgs,0.010046597911426161,0.007817998065656436,0.00538463957284366,8.365254507256831e-11,1,-0.13903097663012767,0.08818446953988957,-0.13903097663012767,0.002500000000000003,0.0,0.002500000000000003,0.0,77e38c67fbaf688e331942f20db89add53f9045896704fcbe5bb270f54203014,a6c951a297129e13f95fbaf8377cd80ab45df7166f97b1777004309a27d8d911
39,inverse_bfgs,0.010046597911426161,0.007817998064975143,0.005384639572422484,8.365254581640256e-11,1,-0.13903097663012767,0.08818446954056205,-0.13903097663012767,0.002500000000000003,0.0,0.002500000000000003,0.0,a0845496a8865136a76c125a89c587da5091044400cd3835b3239773fa6ee3f2,a6c951a297129e13f95fbaf8377cd80ab45df7166f97b1777004309a27d8d911
40,inverse_bfgs,0.010044775267555733,0.015795864362303732,0.01138975133455174,4.1078828681240236e-11,6,-0.13667025777738226,0.08836280927799292,-0.13667025777738226,0.002500000000000003,0.0,0.002500000000000003,0.0,8c93ec2b6e5a5c691e389da2d578aa51b4f8ced4b1b5640963b4deb5c522e55e,e81b6b116987b2e23ac85a3cbaee45be88466fefeb050c2bdfcfcdd7a1f9d91e
41,inverse_bfgs,0.0100443366379134,0.01363881526323541,0.00985907992811396,4.836104721856498e-11,4,-0.13594469186950772,0.08841680559277065,-0.13594469186950772,0.002500000000000003,0.0,0.002500000000000003,0.0,9bb3a3e0d8028b5285d0f3379fb9839b0441839c5427c3b498eb93785f5e2404,95e6a60056063e214793623dc9446c12e8e002f18bcc319db9c2af75c203b433
42,inverse_bfgs,0.010043806396672387,0.009799699911897336,0.007124262209559416,7.528890119943993e-11,4,-0.13486258751710722,0.08849666908549929,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,e3fa8a9cc238f431ab7a6175626481f5933b6a2f000d0708145497ce36c6b63e,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
43,inverse_bfgs,0.010043806396672387,0.009799699911377323,0.00712426220927334,7.528890238465777e-11,1,-0.13486258751710722,0.08849666908644968,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,45e3fb9aefae6fb3163135b1fa156ec357c0d02ead93a6f55cef102761018d9d,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
44,inverse_bfgs,0.010043806396672387,0.009799699910724725,0.007124262208915405,7.528890410279852e-11,1,-0.13486258751710722,0.08849666908766556,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,2a9aea600d1f796751841a16257c0c39f2db7464672436a71346ffdaa2fdf551,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
45,inverse_bfgs,0.010043806396672387,0.009799699910054435,0.007124262208543867,7.528890605625156e-11,1,-0.13486258751710722,0.08849666908888623,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,7c4521eba5a700b967f12ce9fa55bac81a4e67ec3301f08a69579393f4e55341,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
46,inverse_bfgs,0.010043806396672387,0.009799699909399304,0.007124262208182736,7.528890824653168e-11,1,-0.13486258751710722,0.08849666909011146,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,1f02f27e0dc269f2a7b4f8dd819f55195bd8aa28886aa3ab66a05faf406c5a6e,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
47,inverse_bfgs,0.010043806396672387,0.009799699908733852,0.00712426220781319,7.528891067744746e-11,1,-0.13486258751710722,0.08849666909134184,-0.13486258751710722,0.002500000000000003,0.0,0.002500000000000003,0.0,3c87232891b701258cfced47d2c0d9aff6e60c7f3314876a5e87510117dda408,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449
