accepted,alpha,controls_sha256,displacement_sha256,forward_iterations,gradient_inf,min_det_f,objective,trial
False,1.4901161193847656e-08,642b91331af31e71fe557949c2d66e520d892debb53a647e74b13c6e35f550d2,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699886450677,-0.13486258751710722,0.010043806396672387,951
False,7.450580596923828e-09,4928c887196d5ab6800551ffc1af260a2fc1206cdaec3501c309e508b78bfdf2,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.00979969989187174,-0.13486258751710722,0.010043806396672387,952
False,3.725290298461914e-09,727b658a9e2d5b870b5b74550b488a3d6a5b8a458fb340ef2395df9a52736452,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699894571868,-0.13486258751710722,0.010043806396672387,953
False,1.862645149230957e-09,a2c3b12a7186e44cf5179f71c1b4bb798621d0f2f91f8aa3f47500d0f3ac0177,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699895925669,-0.13486258751710722,0.010043806396672387,954
True,9.313225746154785e-10,8797b397a4b8dedf4ae0335ba8986f615bae0dd5fb4c5acfb4d1ffbaaa607190,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699896607846,-0.13486258751710722,0.010043806396672387,955
False,1.0,1a1f9fd1bd5c1036508b9a2c978a40c3e8b5af0132918c347bf9f24887ea0bdc,7d8777bf79bcd78089601ba95fb18f661aaafbc1b51100cea0f394efb4f9b24f,27,0.0028129867440178135,-0.11594327375486636,0.010116444810236236,956
False,0.5,4cebcdde3f0fd77f1436bcc0eb680e32bc993b7ecadf4d95ccd90e9cbeca1535,3bf3d858fc6fc24edd4f57e8cae649fbb95228adb60812bea87cadf942dcf262,16,0.004310036714678509,-0.12543430116763635,0.010049162748548909,957
False,0.25,bfa7601783ac3694f8dfeef4660e51105839c448a2caa1f13a13dc4d1cc633f6,9565fa5237aeacb90fa643332d1d63c3fe8cef2cf9beea09f0580715586a0a32,26,0.002499227111668539,-0.13016548011321294,0.010121272902383283,958
False,0.125,7df32f669aad96cd21c44a34b5183ce4da66dcfa01648e0385dc366d3b884edb,2034cbedfc31ee799ccdff3cb19029c0bdabcd3702bb14b6aeb85c3974176c08,27,0.001391294795182133,-0.1325083046730471,0.010121499409311254,959
False,0.0625,046f90b3a158e9ae3cc9e9bc1c0546a13ec96620f3588a4cb3d3774906f7ff8e,66ca83e731ffdbd564ab97f58c4bdee1b656b6ad2900f189bfa3f0ba65ceb9a0,21,0.001253760978345472,-0.13367695995535742,0.010121917478701815,960
False,0.03125,4917eebe5caed0b7a363ed8fe684f1a7b48510442433e360c2fe827d7ee963a6,977b0815b07877e97e7a789dea5a2fff4af59f61e9c86498b575568a7018489d,21,0.001208284027379021,-0.13426064391482598,0.01012217092050709,961
False,0.015625,e5131d695281ebe0818fcaa2b88f8a3249bb51fda2c8392483814f4fa50e69c0,af700b3492bd64511c2f31fca0aec9279759abd5ea131e37c0a02e41b3e2a68a,22,0.0011896478823703463,-0.13455232880746457,0.010122306136824459,962
False,0.0078125,c0e3c1c5feb693c571170099e20c21e1822f2cc8f317865135db7f52bd2d2105,57df79dbea84123c9418687418338976f82fd7c66863ae12f244bc3a28430a8a,14,0.001181220955754146,-0.13469813108814546,0.01012237640232609,963
False,0.00390625,77a13fdc07521d4aef055a083a2c327e45e48e959b7ad271689076d904f76729,ac8d9f3762669270976f6a71ac1ff261d6b1fa1d14ab07ad15f5b4e1df321a99,13,0.0011772103117946194,-0.1347710230317285,0.010122411697205028,964
False,0.001953125,013f8d1df8c9c1a731b8ed3716db6382aba637358bb4ce8cb541862e7040ab6d,00eef85f798ff9c3d6f0b9b9b36854fe0ce7b3a86ddc131178b14046421e7da2,14,0.0011752555256106323,-0.13480746592288956,0.010122429772774342,965
False,0.0009765625,786add82bae7df196e7efea1d52896c6e171bd9e570069c432b8147c55fdc1e5,3a0aaf561d1de7291b099c39699e9db9e482ca36702ed0a05bd10690d4540f53,15,0.0011742907318810834,-0.13482568720571392,0.010122438653534686,966
False,0.00048828125,72248dc0fe005c8d523d8ac2cc83fd31ce7eeb09448c777039dade82d6ca9bd4,6b59e11ad96fe7f87f356e05e23adb71af951d3aeafe403869ffdd9ec10bb41a,22,0.0011738111051714975,-0.1348347975936879,0.010122443138310787,967
False,0.000244140625,ace9707bf0602a37e35ab06040a18c140c7b67af9ce247dbf334a7f977ff0bd9,013dbc07d3d71adf099960cc437177f05a5851a890f97fd3577a7c5d2d3d0351,22,0.0011735720469169867,-0.13483935274952927,0.010122445382641032,968
False,0.0001220703125,0d587a1523919412f8f0fa1c9d1c1014ff87077ccde6fed80c4faaaaaedb68df,9ebaca828473707fb6e67e4330afa0308fc9c9b1710293a4c834c153e2a79462,32,0.001173447723699464,-0.13484163095098278,0.01012244611109132,969
False,6.103515625e-05,50eee9b8a013e3d64fef3e2e767c71380601cbff4993426a2c0c59acc25de1ea,3ef0d25595842c62d6bc5dd6ce8244f190ee592ea456ad1fa1cfa02999415834,32,0.0011733930845822661,-0.1348427690999784,0.010122447066315892,970
False,3.0517578125e-05,67f375a6c5491c519e734c0c1fa9892f0ef2083973de8880a6755f8ceba988a8,63ce4a25ab400b28757ab2a9bd4443650cc1d3888e78aa3b75f604245db44c02,32,0.0011733632819864793,-0.13484333849081118,0.010122447346907879,971
False,1.52587890625e-05,fdfdc57f9b1627cdfe9831146ac45feb373b0ac408cb025ee7fec97b491119e9,97c96872d56538830cf3844a13d809a917e34017f31f0caf62113cf01b40d063,32,0.0011733483861146963,-0.13484362318488258,0.010122447487947599,972
False,7.62939453125e-06,95f03b83c03a1f0994c533a6710d28ef59796635579af10e97ca6b34754e1eeb,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799694312644084,-0.13486258751710722,0.010043806396672387,973
False,3.814697265625e-06,ef0770fd9d66e3faccbfa5878a98b17d485236b165ae45bd0813da2069719eba,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799697104629594,-0.13486258751710722,0.010043806396672387,974
False,1.9073486328125e-06,89ba1ae056730a5253ced3b805bdd891e5c1ae43e1865ace4283e9977d0e4884,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799698500613385,-0.13486258751710722,0.010043806396672387,975
False,9.5367431640625e-07,9cce83fafd26a15dcaaafab1db1e8d258b01e1f0bd3dee3081e53f40801aae94,9a40068d6fb95eaea68507858170beb617575fa2a09171f9846d31df09739449,1,0.009799699198619304,-0.13486258751710722,0.010043806396672387,976
