case,display_name,cohort,material_model,step,target/error_rms_fraction_of_target,target/error_rms_mm,target/face_rest_area_weighted_error_fraction,target/face_target_area_weighted_error_fraction,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,bumpiness/displacement_laplacian_rms_m,seam/boundary_band_to_interior_residual_ratio,seam/boundary_band_to_interior_normal_laplacian_ratio,activation/rms,activation/max_abs,activation/I_plus_Ainv_min_eigenvalue,activation/I_plus_Ainv_min_determinant,activation/I_plus_Ainv_max_condition_number,cut_boundary/policy,cut_boundary/displacement_rms_m,cut_boundary/displacement_max_abs_m,cut_boundary/displacement_exact_zero,warning/I_plus_Ainv_non_spd_active_tets,warning/inverted_tets,warning/detF_min,warning/isface_folded_triangles
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,20,0.650800973512329,3.4558436712305483,0.6625233802442729,0.6627512351377088,9.638852574982417,0.00021163882467046405,0.00013940083061638728,0.6834022720131445,2.1448446412256463,0.04159718798439429,1.499365062977432,0.05183472588471717,0.012365980939394354,13.87970848424944,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,11,-1.299746142824909,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,21,0.6411929667532793,3.404823819228478,0.6524324858014743,0.6528551365019869,9.88493551465385,0.00021190482176845166,0.00014226215209007801,0.6835589680549415,2.1223260217823077,0.04289859349725317,1.5389847621882058,0.04928068405964263,0.01142881114413363,14.57839069278053,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,15,-1.303827016510772,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,22,0.6317839587674249,3.354860678385302,0.6424697760649607,0.6430739132174514,10.139240091060875,0.0002125326637950224,0.00014517083896561036,0.6845172849789576,2.1005750821812814,0.044154567737227673,1.5764721927060774,0.04856733823252095,0.010975476567574085,14.778067864138377,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,15,-1.3119812053963484,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,23,0.6231540363337306,3.3090345901655245,0.6334728099601046,0.6342424855356121,10.343414202607278,0.0002121293989829212,0.00014722663062614565,0.6838556826088688,2.078090075186195,0.04536706716661637,1.6121149572454125,0.049551882557632945,0.010935305754764275,14.475414276653359,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,15,-1.309530922019941,17
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,24,0.6142325304418984,3.2616601532347684,0.624178092455203,0.6251028621520567,10.588046780441058,0.00021267500424802764,0.00015005073603038385,0.6834154895118321,2.0517977249174595,0.04653756510200974,1.6460929099302997,0.051854296061785564,0.011197444180153704,13.828202040733947,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,17,-1.3000718694822027,18
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,25,0.6060287281283662,3.218096822110296,0.6152555254009263,0.616322445300487,10.796074008769285,0.00021344890159442415,0.0001526007136745448,0.6831144137092866,2.0320954791494525,0.04766841627015468,1.6785336810607039,0.055598098717950815,0.011768496428583615,12.89394105908164,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,18,-1.3109313236275963,22
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,26,0.5975667184960489,3.173162374216171,0.6061295751348647,0.6074341216681556,11.029440947648757,0.00021383503485374936,0.00015484444729155263,0.6855171585868001,2.0118468965077105,0.048761092977339285,1.7095624489782604,0.06016417973953958,0.012505326888274066,11.914675152403104,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,23,-1.319831098341952,22
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,27,0.5895767699881147,3.130734636538426,0.5977309209394197,0.5991570261367876,11.24862213133431,0.0002143583047998249,0.00015720463979510292,0.6866758700459128,1.990251030134577,0.049818280942984544,1.7389988005579324,0.06537113324689206,0.013364924473745063,10.96620238302674,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,24,-1.3205751877904113,22
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,28,0.5822431304173151,3.0917919905846953,0.5900423320204666,0.5915413106908329,11.42827110853858,0.00021457705296868803,0.00015927354023660453,0.6865479260201584,1.9546722075107126,0.05084107916181687,1.7667904961698524,0.07107626219884947,0.01431633530469032,14.285655501625145,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,28,-1.3209222750235947,19
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,29,0.574680433489407,3.051633018211476,0.5819697325797557,0.5835697181292003,11.635245525951028,0.00021465039281111638,0.0001613148320293616,0.6894496176831646,1.9256717269899497,0.05183127292799184,1.7929978323871818,0.044614574158925585,0.015207146564310275,23.11538386992138,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,31,-1.3223345709932517,19
